"num","team","total_epa","auto_cycles","auto_points","teleop_cycles","teleop_points","total_cycles","total_points","links","cube_cycles","cube_points","cone_cycles","cone_points","bot_cycles","mid_cycles","top_cycles","fouls_committed","fouls_drawn","capped_fouls_committed","capped_fouls_drawn"
"8429","Valence Robotics","36.1","0.9","4.8","4.7","16.2","5.6","27.6","1.3","2.6","9.7","3","11.3","1.3","2","2.3","3","0.4","3.2","0.6"
"9022","Marion Center Robotics","36.1","0.8","5.6","3.9","15.4","4.7","27","1.2","1.7","7.5","3","13.4","0.6","0.9","3.3","0","1","0","1"
"2039","Rockford Robotics","36.1","0.7","5","4","14.7","4.7","25.5","1.2","1.4","6.5","3.3","13.1","0.5","1.6","2.7","1.3","1.9","1.5","1.7"
"967","Iron Lions","36.1","1","5.8","3.6","14.6","4.5","25.3","1","1.7","8.1","2.8","12.4","0.6","0.8","3.2","0.6","0","0.6","0"
"1712","Dawgma","36.1","0.6","3.2","5.3","20","5.9","30.4","1.5","2.1","8.3","3.8","14.8","1.4","1.4","3.1","1.9","1","1.8","1"
"246","Overclocked","36.1","0.9","5.5","3.7","14.8","4.6","27.8","1.5","1.9","7.1","2.7","13.2","0.3","1.4","2.9","1.3","0.5","1.3","0.3"
"4536","MinuteBots","36.1","1","6.3","3.5","15.5","4.6","27.1","1.1","1.7","6.4","2.9","15.4","0.5","0.3","3.8","0.1","1.5","0.3","0.7"
"4216","Blue Ops Robotics","36.1","1.2","3.8","3.8","10.4","5","22","1.6","1.2","3.9","3.8","10.3","4","0","1","0","3","0","2.8"
"2509","Tigerbots","36","1.5","7.1","3.3","8.9","4.7","22.4","1.3","1.6","5.9","3.1","10","2.5","1","1.3","0.9","1.3","0.9","1.5"
"2383","Ninjineers","36","1.1","6.4","5.1","19.3","6.2","33.9","1.6","2.3","9.5","4","16.3","0.5","2.5","3.2","6.5","0","1.4","0"
"3721","Charger Robotics","36","0.9","4.1","3.9","14.9","4.8","24.1","1","2","7.4","2.8","11.6","1.8","0.2","2.8","0","0.3","0.1","0.8"
"7636","Robomania","36","1","4.7","4.2","15.1","5.1","24.4","0.9","2.2","8.4","3","11.4","1.8","0.7","2.6","3.2","5.1","3.2","4.4"
"8866","Innovation Robotics","36","0.8","4.7","4","14.3","4.7","23.5","0.9","2.3","9.2","2.4","9.8","1.2","0.9","2.6","0","0","0","0"
"122","NASA Knights","35.9","1.1","5.8","3.9","13.1","5","25.6","1.3","2.1","7.8","2.9","11.1","2.3","0","2.6","1.6","0.8","1.5","1.2"
"9260","Build4Bibb Robotics","35.9","0.9","5.7","5.1","19.2","6","34.7","1.9","2.3","9.2","3.7","15.7","1.5","0.9","3.7","1.4","0.9","0.4","1"
"2876","Devilbotz","35.9","1.1","4.7","3.6","16.4","4.7","27.3","1.2","1.2","5.9","3.5","15.3","0.7","0.7","3.3","0.7","0.9","0.6","1"
"6413","Degrees of Freedom","35.9","1.4","7","3","10.8","4.4","24.5","1.3","1.6","5.6","2.8","12.2","2","-0.3","2.7","4.4","2.2","4.5","2.5"
"9176","Greenspire Robotics","35.8","0.6","4.2","4.7","17.1","5.4","28.7","1.5","1.4","7","4","14.3","1.6","0.7","3.1","0.6","1.5","0.7","1.5"
"6429","4th Dimension","35.8","0.5","2.2","4.5","12.8","4.9","19.8","1","3.8","10.8","1.1","4.2","2.1","1.8","1","1","4.9","1.1","5.2"
"9245","Laker","35.8","0.9","4.7","3.5","13.8","4.4","23.7","1","1.9","8","2.5","10.6","0.7","1","2.6","0.8","0.3","0.8","0.3"
"5461","Victorian Engineered Roboti...","35.8","0.8","5","3.9","11.8","4.7","23.7","1.4","3.1","10.2","1.6","6.6","1.9","0.9","1.9","0.6","2.4","0.8","1.8"
"2220","Blue Twilight","35.8","0.9","6.1","5.2","15.4","6.1","29.3","1.6","4.6","14.5","1.5","7","2.4","1.5","2.3","2","1.1","1.8","1.3"
"4453","The Red Hot Chili Bots","35.8","0.8","4.5","2.7","9.5","3.5","15.3","0.2","1.5","5.6","2","8.5","1.3","0.1","2.1","0.5","0.1","0.5","0.1"
"5424","Rogue Robots","35.7","0.9","5.1","4.2","15.2","5.1","25.9","1.1","1.9","6.9","3.2","13.4","1.7","0.4","3","3.6","3.7","3","2.6"
"60","Kingman FIRST Robotics Team...","35.7","1.1","6.1","3.6","13.4","4.7","25.7","1.2","1.8","8.2","2.9","11.3","1","1","2.7","0.8","3.2","0.9","3.1"
"7067","Team Streak","35.7","1","4","4.4","12.7","5.4","23.7","1.4","2.2","6.9","3.2","9.8","1.5","3.4","0.5","0","0","0","0"
"9287","Bonanza HS","35.7","1.1","3.4","3.4","10.8","4.5","20","1.2","3.5","9.3","1","5","2.6","0.7","1.1","0","0.3","0","0.3"
"1967","The Janksters","35.7","1","5.9","3.7","11.9","4.7","19.8","0.4","3.9","13.7","0.8","4","1.9","0.7","2.2","0.1","0.9","0","1.1"
"5104","BreakerBots","35.7","1.1","4.4","4.5","11.6","5.5","23.4","1.5","4.6","11.7","0.9","4.4","3.4","1.4","0.8","2.5","3.9","2.3","0.7"
"135","Penn Robotics","35.7","1.1","5.6","5.4","16.9","6.5","30.9","1.7","3.4","11.2","3","11.2","3.2","0.8","2.5","1.3","0.4","1.5","0.4"
"865","WARP7","35.7","1.1","6.2","3.7","13.5","4.8","24.5","1","1.6","6.6","3.2","13.1","1.6","0.2","3","1.1","1.5","1.2","1.6"
